Weapon,Type,Archetype/Exotic,Concatenated,Energy,Ammo,PvE Approximate DPS,"Total X",RoF / Draw Time / Charge (ms),Crit,Body,"Crit X","Optimal TtK (s)",Shots / Bolts to Kill,"Crit Percent",Crits,Bod Bursts,"Body Shot TtK / Follow up shot TtK","Body Shots to Kill",Bursts / Time Between Shots,Sim TTK 33/33/34%,Sim TTK 60/30/10%,Av. Zoom Stat,Zoom Scaler,Zoom Multiplier,Modified Zoom Multiplier,Base Range Value (Hip),Value Per Range Stat,Effective Hip Fire Range (m),Effective ADS Range (m),Impact / Blast Radius,Range / Accuracy / Velocity,Stability / Shield Duration (Glaive),Handling,"Reload Speed / Charge Rate","Aim Assist","Recoil Direction / Defense / Charge (Glaives)","Mag Size",Airborne Efficacy,Base Zoom / Swing Speed,Archetype Description,BIS Score,Concatenated - Type+Score,Concatenated - Type+Archetype+Score,Weapon Ref,Total BIS Score Modifier,Overall Archetype Adjustment Score,Overall Perk Selection Score,PVP Archetype Adjustment Score,PVP Perk Selection Score,PVE Archetype Adjustment Score,PVE Perk Selection Score,Craftable?,Sunset?,Exotic?,
Fel Taradiddle,Combat Bow,Lightweight,Combat Bow Lightweight,Kinetic,Primary,3265,1.00,580,138,86,1.60,-,2,50%,1,1,-,-,3,-,-,-,-,-,-,-,-,-,0,0,68,24,52,65,60,77,58,1,12,18,"""Recurve Bow. Draw quickly and move faster while this weapon is equipped."" ",6.4617,Combat Bow 6.46170072506103,Combat Bow Lightweight 6.46170072506103,Fel Taradiddle,0.8,0.80,1.03,0.80,1.00,0.95,1.05,TRUE,FALSE,FALSE,Combat Bow Kinetic Primary
Imperial Needle,Combat Bow,Lightweight,Combat Bow Lightweight,Void,Primary,3265,1.00,580,138,86,1.60,-,2,50%,1,1,-,-,3,-,-,-,-,-,-,-,-,-,0,0,68,27,42,68,60,80,52,1,10,19,"""Recurve Bow. Draw quickly and move faster while this weapon is equipped."" ",6.2282,Combat Bow 6.2282476457893,Combat Bow Lightweight 6.2282476457893,Imperial Needle,0.8,0.80,1.00,0.80,1.00,0.95,1.00,FALSE,FALSE,FALSE,Combat Bow Void Primary
Blast Furnace,Pulse Rifle,Aggressive,Pulse Rifle Aggressive,Kinetic,Primary,2744,1.00,450,26,15,1.72,0.73,8,88%,7,1,2.00,1.60,13,3.25,1.00,1.10,18.00,0.00,1.675,2,16.000,0.080,22.48,37.65,35,81,67,31,42,42,65,40,0,18,"""Hard-hitting four-burst fire."" ",-,Pulse Rifle -,Pulse Rifle Aggressive -,Blast Furnace,,,,,,,,FALSE,TRUE,FALSE,
Lunulata-4b,Combat Bow,Lightweight,Combat Bow Lightweight,Stasis,Primary,3265,1.00,580,138,86,1.60,-,2,50%,1,1,-,-,3,-,-,-,-,-,-,-,-,-,0,0,68,25,59,67,60,82,49,1,7,18,"""Recurve Bow. Draw quickly and move faster while this weapon is equipped."" ",6.0978,Combat Bow 6.09775761948871,Combat Bow Lightweight 6.09775761948871,Lunulata-4b,0.8,0.80,0.95,0.80,1.00,0.95,0.90,FALSE,FALSE,FALSE,Combat Bow Stasis Primary
Tyranny of Heaven,Combat Bow,Lightweight,Combat Bow Lightweight,Solar,Primary,3265,1.00,580,138,86,1.60,-,2,50%,1,1,-,-,3,-,-,-,-,-,-,-,-,-,0,0,68,27,59,47,20,74,54,1,10,18,"""Recurve Bow. Draw quickly and move faster while this weapon is equipped."" ",5.8086,Combat Bow 5.80859326736183,Combat Bow Lightweight 5.80859326736183,Tyranny of Heaven,0.8,0.80,1.00,0.80,1.00,0.95,1.00,FALSE,FALSE,FALSE,Combat Bow Solar Primary
Whispering Slab,Combat Bow,Lightweight,Combat Bow Lightweight,Kinetic,Primary,3265,1.00,580,138,86,1.60,-,2,50%,1,1,-,-,3,-,-,-,-,-,-,-,-,-,0,0,68,22,53,65,60,75,55,1,10,18,"""Recurve Bow. Draw quickly and move faster while this weapon is equipped."" ",6.1893,Combat Bow 6.18926526102365,Combat Bow Lightweight 6.18926526102365,Whispering Slab,0.8,0.80,1.00,0.80,1.00,0.95,1.00,FALSE,FALSE,FALSE,Combat Bow Kinetic Primary
Whistler's Whim,Combat Bow,Lightweight,Combat Bow Lightweight,Kinetic,Primary,3265,1.00,580,138,86,1.60,-,2,50%,1,1,-,-,3,-,-,-,-,-,-,-,-,-,0,0,68,38,64,71,60,74,60,1,19,18,"""Recurve Bow. Draw quickly and move faster while this weapon is equipped."" ",7.6778,Combat Bow 7.67776699829768,Combat Bow Lightweight 7.67776699829768,Whistler's Whim,0.8,0.80,1.00,0.80,1.00,1.00,1.00,FALSE,FALSE,FALSE,Combat Bow Kinetic Primary
Accrued Redemption,Combat Bow,Precision,Combat Bow Precision,Kinetic,Primary,3215,1.00,667,151,101,1.50,-,2,0%,0,2,-,-,2,-,-,-,-,-,-,-,-,-,0,0,76,71,43,55,40,70,77,1,10,18,"""Compound Bow. Longer draw time optimized for damage."" ",10.3476,Combat Bow 10.3476496111801,Combat Bow Precision 10.3476496111801,Accrued Redemption,1.2,1.20,1.00,1.20,1.00,1.00,1.00,FALSE,FALSE,FALSE,Combat Bow Kinetic Primary
Biting Winds,Combat Bow,Precision,Combat Bow Precision,Kinetic,Primary,3215,1.00,667,151,101,1.50,-,2,0%,0,2,-,-,2,-,-,-,-,-,-,-,-,-,0,0,76,68,43,49,40,66,63,1,10,18,"""Compound Bow. Longer draw time optimized for damage."" ",9.8884,Combat Bow 9.88842951047058,Combat Bow Precision 9.88842951047058,Biting Winds,1.2,1.20,0.95,1.20,1.00,1.00,0.90,FALSE,FALSE,FALSE,Combat Bow Kinetic Primary
Point of the Stag,Combat Bow,Precision,Combat Bow Precision,Arc,Primary,3215,1.00,667,151,101,1.50,-,2,0%,0,2,-,-,2,-,-,-,-,-,-,-,-,-,0,0,76,68,40,56,40,72,77,1,10,18,"""Compound Bow. Longer draw time optimized for damage."" ",10.2733,Combat Bow 10.2733024785917,Combat Bow Precision 10.2733024785917,Point of the Stag,1.2,1.20,1.00,1.20,1.00,1.00,1.00,FALSE,FALSE,FALSE,Combat Bow Arc Primary
Strident Whistle,Combat Bow,Precision,Combat Bow Precision,Solar,Primary,3215,1.00,667,151,101,1.50,-,2,0%,0,2,-,-,2,-,-,-,-,-,-,-,-,-,0,0,76,74,41,50,40,64,76,1,5,18,"""Compound Bow. Longer draw time optimized for damage."" ",9.2112,Combat Bow 9.21115180618609,Combat Bow Precision 9.21115180618609,Strident Whistle,1.2,1.20,1.00,1.20,1.00,1.00,1.00,FALSE,FALSE,FALSE,Combat Bow Solar Primary
Breachlight,Sidearm,Aggressive Burst,Sidearm Aggressive Burst,Kinetic,Primary,5331,1.00,325,45,32,1.39,0.73,5,60%,3,2,2.50,0.83,6,3.00,1.00,1.00,12.00,0.00,1.175,1.175,11.600,0.034,13.40,15.75,56,53,43,41,31,83,82,24,0,12,"""Hard-hitting two-burst fire.""",-,Sidearm -,Sidearm Aggressive Burst -,Breachlight,,,,,,,,FALSE,TRUE,FALSE,
Breakneck,Auto Rifle,Precision,Auto Rifle Precision,Kinetic,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.00,1.00,16.00,0.00,1.575,1.575,10.800,0.107,18.08,28.47,29,68,50,43,51,44,80,34,0,16,"""This weapon's recoil pattern is more predictably vertical."" ",-,Auto Rifle -,Auto Rifle Precision -,Breakneck,,,,,,,,FALSE,TRUE,FALSE,
Breath of the Dragon,Submachine Gun,Lightweight,Submachine Gun Lightweight,Arc,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.05,1.00,14.00,0.00,1.275,1.275,6.300,0.126,10.33,13.17,15,32,47,66,33,50,93,30,0,14,"""Superb handling. Move faster with this weapon equipped."" ",-,Submachine Gun -,Submachine Gun Lightweight -,Breath of the Dragon,,,,,,,,FALSE,TRUE,FALSE,
Under Your Skin,Combat Bow,Precision,Combat Bow Precision,Void,Primary,3215,1.00,667,151,101,1.50,-,2,0%,0,2,-,-,2,-,-,-,-,-,-,-,-,-,0,0,76,74,47,55,40,70,75,1,15,18,"""Compound Bow. Longer draw time optimized for damage."" ",11.9449,Combat Bow 11.9449086037029,Combat Bow Precision 11.9449086037029,Under Your Skin,1.26,1.20,1.05,1.20,1.05,1.00,1.05,TRUE,FALSE,FALSE,Combat Bow Void Primary
Bug-Out Bag,Submachine Gun,Adaptive,Submachine Gun Adaptive,Solar,Primary,4300,1.00,900,16,11,1.44,0.73,12,100%,12,0,-,1.13,18,-,1.00,1.00,14.00,0.00,1.275,1.275,6.300,0.126,11.84,15.10,20,44,45,52,52,46,88,32,0,14,"""A well-rounded grip, reliable and sturdy."" ",-,Submachine Gun -,Submachine Gun Adaptive -,Bug-Out Bag,,,,,,,,FALSE,TRUE,FALSE,
Wolftone Draw,Combat Bow,Precision,Combat Bow Precision,Arc,Primary,3215,1.00,667,151,101,1.50,-,2,0%,0,2,-,-,2,-,-,-,-,-,-,-,-,-,0,0,76,68,32,55,40,68,73,1,10,18,"""Compound Bow. Longer draw time optimized for damage."" ",9.9005,Combat Bow 9.90052499308563,Combat Bow Precision 9.90052499308563,Wolftone Draw,1.2,1.20,1.00,1.20,1.00,1.00,1.00,FALSE,FALSE,FALSE,Combat Bow Arc Primary
Ticuu's Divination,Combat Bow,Ticuu's Divination,Combat Bow Ticuu's Divination,Solar,Primary,3265,1.00,580,138,86,1.60,-,2,50%,1,1,-,-,3,-,-,-,-,-,-,-,-,-,0,0,68,47,62,66,60,79,60,1,23,18,See Exotic box below for more information,-,Combat Bow -,Combat Bow Ticuu's Divination -,Ticuu's Divination,,,,,,,,FALSE,FALSE,TRUE,Combat Bow Solar Primary
Buzzard,Sidearm,Adaptive,Sidearm Adaptive,Kinetic,Primary,5137,1.00,300,51,37,1.39,0.60,4,100%,4,0,-,1.00,6,-,1.05,1.00,13.00,-0.10,1.175,1.075,11.600,0.034,13.03,14.01,49,42,70,56,37,89,94,15,0,12,"""A well-rounded grip, reliable and sturdy."" ",-,Sidearm -,Sidearm Adaptive -,Buzzard,,,,,,,,FALSE,TRUE,FALSE,
Trinity Ghoul,Combat Bow,Trinity Ghoul,Combat Bow Trinity Ghoul,Arc,Primary,3215,1.00,733,49,33,1.48,-,4,100%,4,0,1.33,-,6,2.00,-,-,-,-,-,-,-,-,0,0,80,95,45,63,60,74,77,1,24,18,See Exotic box below for more information,-,Combat Bow -,Combat Bow Trinity Ghoul -,Trinity Ghoul,,,,,,,,FALSE,FALSE,TRUE,Combat Bow Arc Primary
Bygones,Pulse Rifle,Adaptive,Pulse Rifle Adaptive,Kinetic,Primary,2825,1.00,390,31,19,1.60,0.93,7,86%,6,1,2.33,1.47,11,3.67,0.95,1.00,17.00,0.00,1.675,2,16.000,0.080,20.24,33.90,29,53,60,51,51,61,69,39,0,17,"""A well-rounded grip, reliable and sturdy."" ",-,Pulse Rifle -,Pulse Rifle Adaptive -,Bygones,,,,,,,,FALSE,TRUE,FALSE,
Wish-Ender,Combat Bow,Wish-Ender,Combat Bow Wish-Ender,Kinetic,Primary,4137,1.00,820,160,102,1.57,-,2,0%,0,2,-,-,2,-,-,-,-,-,-,-,-,-,0,0,92,85,85,40,30,51,60,1,19,18,See Exotic box below for more information,-,Combat Bow -,Combat Bow Wish-Ender -,Wish-Ender,,,,,,,,FALSE,FALSE,TRUE,Combat Bow Kinetic Primary
Calusea Noblesse,Scout Rifle,High-Impact,Scout Rifle High-Impact,Void,Primary,3046,1.00,150,74,42,1.75,0.80,3,100%,3,0,-,1.60,5,-,0.95,0.95,21.00,0.00,1.975,1.975,29.200,0.169,41.71,82.37,67,74,29,36,37,32,75,14,0,21,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Scout Rifle -,Scout Rifle High-Impact -,Calusea Noblesse,,,,,,,,FALSE,TRUE,FALSE,
Burden of Guilt,Fusion Rifle,Adaptive,Fusion Rifle Adaptive,Stasis,Special,9109,1.00,667,39,39,1.00,0.83,5,0%,0,5,-,0.83,5,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.68,12.58,70,41,39,32,31,52,55,6,8,15,"""A well-rounded grip, reliable and sturdy."" ",9.9161,Fusion Rifle 9.91607591045551,Fusion Rifle Adaptive 9.91607591045551,Burden of Guilt,1.05,1.00,1.00,1.05,1.00,1.00,1.00,FALSE,FALSE,FALSE,Fusion Rifle Stasis Special
Dream Breaker,Fusion Rifle,Adaptive,Fusion Rifle Adaptive,Solar,Special,9109,1.00,667,39,39,1.00,0.83,5,0%,0,5,-,0.83,5,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.28,12.06,70,30,36,27,30,43,57,6,4,15,"""A well-rounded grip, reliable and sturdy."" ",8.2545,Fusion Rifle 8.25447385500407,Fusion Rifle Adaptive 8.25447385500407,Dream Breaker,1.05,1.00,1.00,1.05,1.00,1.00,1.00,FALSE,FALSE,FALSE,Fusion Rifle Solar Special
Techeun Force,Fusion Rifle,Adaptive,Fusion Rifle Adaptive,Arc,Special,9109,1.00,667,39,39,1.00,0.83,5,0%,0,5,-,0.83,5,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.60,12.49,70,39,39,27,34,44,60,6,4,15,"""A well-rounded grip, reliable and sturdy."" ",8.7529,Fusion Rifle 8.75288529223329,Fusion Rifle Adaptive 8.75288529223329,Techeun Force,1.05,1.00,1.00,1.05,1.00,1.00,1.00,FALSE,FALSE,FALSE,Fusion Rifle Arc Special
Timelines' Vertex,Fusion Rifle,Adaptive,Fusion Rifle Adaptive,Solar,Special,9109,1.00,667,39,39,1.00,0.83,5,0%,0,5,-,0.83,5,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.46,12.30,70,35,40,35,40,60,60,6,4,15,"""A well-rounded grip, reliable and sturdy."" ",9.3592,Fusion Rifle 9.35924735765658,Fusion Rifle Adaptive 9.35924735765658,Timelines' Vertex,1.05,1.00,1.00,1.05,1.00,1.00,1.00,FALSE,FALSE,FALSE,Fusion Rifle Solar Special
Trinary System,Fusion Rifle,Adaptive,Fusion Rifle Adaptive,Solar,Special,9109,1.00,667,39,39,1.00,0.83,5,0%,0,5,-,0.83,5,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.60,12.49,70,39,43,35,39,54,55,6,4,15,"""A well-rounded grip, reliable and sturdy."" ",9.3717,Fusion Rifle 9.37169336126435,Fusion Rifle Adaptive 9.37169336126435,Trinary System,1.05,1.00,1.00,1.05,1.00,1.00,1.00,FALSE,FALSE,FALSE,Fusion Rifle Solar Special
Coriolis Force,Fusion Rifle,Aggressive,Fusion Rifle Aggressive,Void,Special,9677,1.00,667,46,46,1.00,0.83,5,0%,0,5,-,0.83,5,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.39,12.20,70,33,37,26,34,45,50,6,4,15,"""High damage, moderate charge time. Fires a horizontal volley."" ",6.2603,Fusion Rifle 6.26027651371833,Fusion Rifle Aggressive 6.26027651371833,Coriolis Force,0.72,0.80,0.90,0.80,0.90,0.80,0.90,FALSE,FALSE,FALSE,Fusion Rifle Void Special
Bastion,Fusion Rifle,Bastion,Fusion Rifle Bastion,Kinetic,Special,12171,1.00,733,27,27,1.00,0.77,8,0%,0,8,-,0.77,8,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.46,12.30,85,35,52,32,24,65,75,5,3,15,See Exotic box below for more information,-,Fusion Rifle -,Fusion Rifle Bastion -,Bastion,,,,,,,,FALSE,FALSE,TRUE,Fusion Rifle Kinetic Special
Delicate Tomb,Fusion Rifle,Delicate Tomb,Fusion Rifle Delicate Tomb,Arc,Special,9836,1.00,500,27,27,1.00,0.77,8,0%,0,8,-,0.77,8,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.24,12.02,55,29,32,56,48,35,95,6,6,15,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Fusion Rifle -,Fusion Rifle Delicate Tomb -,Delicate Tomb,,,,,,,,FALSE,FALSE,TRUE,Fusion Rifle Arc Special
Exile's Curse,Fusion Rifle,High-Impact,Fusion Rifle High-Impact,Arc,Special,8917,1.00,960,66,66,1.00,1.06,3,0%,0,3,-,1.06,3,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.93,12.91,95,48,27,27,19,61,79,5,6,15,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",8.9287,Fusion Rifle 8.92871577650343,Fusion Rifle High-Impact 8.92871577650343,Exile's Curse,0.95,0.95,0.95,0.95,1.00,0.95,0.90,FALSE,FALSE,FALSE,Fusion Rifle Arc Special
Claws of the Wolf,Pulse Rifle,Rapid-Fire,Pulse Rifle Rapid-Fire,Void,Primary,2771,1.00,540,24,14,1.70,0.80,9,78%,7,2,3.00,1.40,14,4.67,1.05,1.05,17.00,0.00,1.675,2,16.000,0.080,19.28,32.29,23,41,45,29,34,78,53,33,0,17,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Pulse Rifle -,Pulse Rifle Rapid-Fire -,Claws of the Wolf,,,,,,,,FALSE,TRUE,FALSE,
Glacioclasm,Fusion Rifle,High-Impact,Fusion Rifle High-Impact,Void,Special,8917,1.00,960,66,66,1.00,1.06,3,0%,0,3,-,1.06,3,-,-,-,15.00,0.10,1.300,1.4,8.200,0.036,10.47,14.66,95,63,29,33,15,55,78,5,4,16,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",8.7903,Fusion Rifle 8.79033875708715,Fusion Rifle High-Impact 8.79033875708715,Glacioclasm,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Fusion Rifle Void Special
Iota Draconis,Fusion Rifle,High-Impact,Fusion Rifle High-Impact,Solar,Special,8917,1.00,960,66,66,1.00,1.06,3,0%,0,3,-,1.06,3,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.86,12.81,95,46,24,22,17,59,73,5,4,15,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",7.8933,Fusion Rifle 7.89332657974485,Fusion Rifle High-Impact 7.89332657974485,Iota Draconis,0.95,0.95,0.95,0.95,1.00,0.95,0.90,FALSE,FALSE,FALSE,Fusion Rifle Solar Special
Midha's Reckoning,Fusion Rifle,High-Impact,Fusion Rifle High-Impact,Arc,Special,8917,1.00,960,66,66,1.00,1.06,3,0%,0,3,-,1.06,3,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,10.07,13.09,95,52,22,19,18,68,78,5,8,15,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",9.6422,Fusion Rifle 9.64223006700436,Fusion Rifle High-Impact 9.64223006700436,Midha's Reckoning,0.9975,0.95,1.05,0.95,1.05,0.95,1.05,TRUE,FALSE,FALSE,Fusion Rifle Arc Special
The Wizened Rebuke,Fusion Rifle,High-Impact,Fusion Rifle High-Impact,Arc,Special,8917,1.00,960,66,66,1.00,1.06,3,0%,0,3,-,1.06,3,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,10.04,13.05,95,51,28,22,20,62,72,5,4,15,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",8.2601,Fusion Rifle 8.26007157075845,Fusion Rifle High-Impact 8.26007157075845,The Wizened Rebuke,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Fusion Rifle Arc Special
Jötunn,Fusion Rifle,Jötunn,Fusion Rifle Jötunn,Solar,Special,9771,1.00,767,323,323,1.00,0.80,1,0%,0,1,-,0.80,1,-,-,-,15.00,0.00,-,-,-,-,0,0,100,47,23,36,23,67,77,5,8,15,See Exotic box below for more information,-,Fusion Rifle -,Fusion Rifle Jötunn -,Jötunn,,,,,,,,FALSE,FALSE,TRUE,Fusion Rifle Solar Special
Merciless,Fusion Rifle,Merciless,Fusion Rifle Merciless,Solar,Special,14699,1.00,1033,63,63,1.00,1.17,4,0%,0,4,-,1.17,4,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,9.60,12.49,75,39,52,31,23,69,94,8,15,15,See Exotic box below for more information,-,Fusion Rifle -,Fusion Rifle Merciless -,Merciless,,,,,,,,FALSE,FALSE,TRUE,Fusion Rifle Solar Special
One Thousand Voices,Fusion Rifle,One Thousand Voices,Fusion Rifle One Thousand Voices,Solar,Special,16556,-,1000,A lot,200,-,-,1,0%,0,1,-,-,1,-,-,-,25.00,0.00,-,-,-,-,0,0,100,100,40,0,30,100,100,4,6,25,See Exotic box below for more information,-,Fusion Rifle -,Fusion Rifle One Thousand Voices -,One Thousand Voices,,,,,,,,FALSE,FALSE,TRUE,Fusion Rifle Solar Special
Deliverance,Fusion Rifle,Precision,Fusion Rifle Precision,Stasis,Special,8112,1.00,780,40,40,1.00,0.95,5,0%,0,5,-,0.95,5,-,-,-,16.00,0.00,1.300,1.3,8.200,0.036,10.43,13.56,80,62,52,32,34,67,80,6,9,16,"""This weapon's recoil pattern is more predictably vertical."" ",10.7844,Fusion Rifle 10.7844183549324,Fusion Rifle Precision 10.7844183549324,Deliverance,1.1025,1.05,1.05,1.05,1.05,1.00,1.05,TRUE,FALSE,FALSE,Fusion Rifle Stasis Special
Hollow Words,Fusion Rifle,Precision,Fusion Rifle Precision,Arc,Special,8112,1.00,780,40,40,1.00,0.95,5,0%,0,5,-,0.95,5,-,-,-,16.00,0.20,1.300,1.5,8.200,0.036,9.96,14.95,80,49,38,23,20,63,75,6,4,18,"""This weapon's recoil pattern is more predictably vertical."" ",7.2143,Fusion Rifle 7.21425052223229,Fusion Rifle Precision 7.21425052223229,Hollow Words,0.945,1.05,0.95,1.05,0.90,1.00,1.00,FALSE,FALSE,FALSE,Fusion Rifle Arc Special
Complex Solution,Sword,Adaptive,Sword Adaptive,Solar,Heavy,17272,-,-,-,-,-,-,1,0%,0,1,-,-,1,-,0.95,0.95,-,-,-,-,-,-,-,-,60,40,0,0,20,10,60,61,0,46,"""[Heavy Attack] : Launch a heavy uppercut attack. Heavy attacks are stronger with full energy."" ",-,Sword -,Sword Adaptive -,Complex Solution,,,,,,,,FALSE,TRUE,FALSE,
Main Ingredient,Fusion Rifle,Precision,Fusion Rifle Precision,Arc,Special,8112,1.00,780,40,40,1.00,0.95,5,0%,0,5,-,0.95,5,-,-,-,16.00,0.10,1.300,1.4,8.200,0.036,10.32,14.45,80,59,49,31,24,59,73,5,4,17,"""This weapon's recoil pattern is more predictably vertical."" ",8.7100,Fusion Rifle 8.70998264522756,Fusion Rifle Precision 8.70998264522756,Main Ingredient,1.05,1.05,0.95,1.05,1.00,1.00,0.90,FALSE,FALSE,FALSE,Fusion Rifle Arc Special
PLUG ONE.1,Fusion Rifle,Precision,Fusion Rifle Precision,Arc,Special,8112,1.00,780,40,40,1.00,0.95,5,0%,0,5,-,0.95,5,-,-,-,16.00,0.10,1.300,1.4,8.200,0.036,10.29,14.40,80,58,49,36,31,66,75,6,8,17,"""This weapon's recoil pattern is more predictably vertical."" ",8.9587,Fusion Rifle 8.95866712936836,Fusion Rifle Precision 8.95866712936836,PLUG ONE.1,0.945,1.05,0.90,1.05,0.90,1.00,0.90,FALSE,FALSE,FALSE,Fusion Rifle Arc Special
Snorri FR5,Fusion Rifle,Precision,Fusion Rifle Precision,Void,Special,8112,1.00,780,40,40,1.00,0.95,5,0%,0,5,-,0.95,5,-,-,-,16.00,0.10,1.300,1.4,8.200,0.036,10.40,14.55,80,61,50,37,33,62,79,6,6,17,"""This weapon's recoil pattern is more predictably vertical."" ",9.6775,Fusion Rifle 9.67746690819083,Fusion Rifle Precision 9.67746690819083,Snorri FR5,1.05,1.05,0.95,1.05,1.00,1.00,0.90,FALSE,FALSE,FALSE,Fusion Rifle Void Special
The Epicurean,Fusion Rifle,Precision,Fusion Rifle Precision,Void,Special,8112,1.00,780,40,40,1.00,0.95,5,0%,0,5,-,0.95,5,-,-,-,16.00,-0.10,1.300,1.2,8.200,0.036,10.32,12.39,80,59,49,30,26,65,80,5,5,15,"""This weapon's recoil pattern is more predictably vertical."" ",9.0171,Fusion Rifle 9.01708424760472,Fusion Rifle Precision 9.01708424760472,The Epicurean,1.05,1.05,1.00,1.05,1.00,1.00,1.00,TRUE,FALSE,FALSE,Fusion Rifle Void Special
Cartesian Coordinate,Fusion Rifle,Rapid-Fire,Fusion Rifle Rapid-Fire,Solar,Special,9836,1.00,500,27,27,1.00,0.77,8,0%,0,8,-,0.77,8,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,8.96,11.64,55,21,26,50,46,60,52,7,4,15,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",8.9249,Fusion Rifle 8.924933318588,Fusion Rifle Rapid-Fire 8.924933318588,Cartesian Coordinate,1,1.05,1.00,1.00,1.00,1.05,1.00,FALSE,FALSE,FALSE,Fusion Rifle Solar Special
Likely Suspect,Fusion Rifle,Rapid-Fire,Fusion Rifle Rapid-Fire,Void,Special,9836,1.00,500,27,27,1.00,0.77,8,0%,0,8,-,0.77,8,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,8.85,11.50,55,18,31,48,46,32,50,7,4,15,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",8.5727,Fusion Rifle 8.57271430874524,Fusion Rifle Rapid-Fire 8.57271430874524,Likely Suspect,1.05,1.05,1.03,1.00,1.05,1.05,1.00,TRUE,FALSE,FALSE,Fusion Rifle Void Special
Null Composure,Fusion Rifle,Rapid-Fire,Fusion Rifle Rapid-Fire,Void,Special,9836,1.00,500,27,27,1.00,0.77,8,0%,0,8,-,0.77,8,-,-,-,15.00,0.10,1.300,1.4,8.200,0.036,9.60,13.45,55,39,40,71,48,38,55,6,4,16,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",9.0948,Fusion Rifle 9.0948239950664,Fusion Rifle Rapid-Fire 9.0948239950664,Null Composure,0.9,1.05,0.90,1.00,0.90,1.05,0.90,FALSE,FALSE,FALSE,Fusion Rifle Void Special
Crooked Fang-4fr,Linear Fusion Rifle,Precision,Linear Fusion Rifle Precision,Void,Heavy,14979,1.00,533,497,166,2.99,0.57,1,100%,1,0,-,1.13,2,-,1.00,1.00,25.00,0.00,-,-,-,-,-,-,41,34,36,36,35,61,65,4,0,25,"""Fires a long-range precision energy bolt. This weapon's recoil pattern is more predictably vertical."" ",-,Linear Fusion Rifle -,Linear Fusion Rifle Precision -,Crooked Fang-4fr,,,,,,,,FALSE,TRUE,FALSE,
Riptide,Fusion Rifle,Rapid-Fire,Fusion Rifle Rapid-Fire,Stasis,Special,9836,1.00,500,27,27,1.00,0.77,8,0%,0,8,-,0.77,8,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,8.96,11.64,55,21,31,50,45,31,53,7,3,15,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",8.0733,Fusion Rifle 8.07332932941837,Fusion Rifle Rapid-Fire 8.07332932941837,Riptide,1,1.05,1.00,1.00,1.00,1.05,1.00,FALSE,FALSE,FALSE,Fusion Rifle Stasis Special
Zealot's Reward,Fusion Rifle,Rapid-Fire,Fusion Rifle Rapid-Fire,Void,Special,9836,1.00,500,27,27,1.00,0.77,8,0%,0,8,-,0.77,8,-,-,-,15.00,0.00,1.300,1.3,8.200,0.036,8.99,11.69,55,22,28,56,48,37,49,7,4,15,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",7.6848,Fusion Rifle 7.68478165307957,Fusion Rifle Rapid-Fire 7.68478165307957,Zealot's Reward,0.9,1.05,0.90,1.00,0.90,1.05,0.90,FALSE,FALSE,FALSE,Fusion Rifle Void Special
